UDISE,features__attributes__latitude,features__attributes__longitude,School Name
3160603702,29.868385,75.813636,GSSS BAKHORA KALAN
3160603602,29.848373,75.815844,GSSS BALRAN
3161200405,30.037971,75.820644,Gsss Chhajali
3161202702,30.016547,75.70698799999998,GSSS KANAKWAL
3150203001,29.784676,75.54188999999998,GSS GANDHU KALAN
3090508902,30.904724,75.815252,Gsss P.A.U.
3090616003,30.920326,75.838085,Gsss Kundanpuri
3090509404,30.913398,75.83535899999998,Gsss Cemetary Road
3090509302,30.914156,75.811544,Gsss Haibowal Khurd
3090600202,30.920924,75.76836799999998,GSSS AYALI KHURD
3161202901,30.099489,75.680418,GSSS CHEEMA
3160604702,29.913146,75.861042,GSSS BHUTAL KALAN
3160601102,29.880936,75.849258,GSSS LEHAL KALAN
3150201201,30.007195,75.64211899999998,GSS BHADRA
3161205303,30.125628,75.79582,GSSS SUNAM (BOYS)
3161203002,30.001013,75.749525,GSSS GANDUAN
3161201902,30.047402,75.68577999999998,"SHAHEED SEPOY MUKAND
 SINGH GOVT. SENIOR SECONDARY SCHOOL DHARAMGARH SANGRUR"
3150201601,29.992092,75.588899,GSSS BIROKE KALAN
3160900602,30.195628,75.680464,GSSS LONGOWAL (GIRLS)
3160501202,30.366893,75.86727,Gsss Dhuri Pind
3161101704,30.436068,75.71665299999998,GSSS SHERPUR
3161102003,30.421255,75.776219,GSSS GHANAURI KALAN
3161201711,30.160046,75.71481799999998,GOVT MODEL SENIOR SECONDARY SCHOOL SHERON
3161100503,30.369884,75.755483,Gsss Mullowal
3200100403,30.251296,75.664196,GSSS BADBAR
3161101103,30.305281,75.677959,GSSS BALIAN ( VIA LONGOWAL)
3160900102,30.19274,75.67302599999998,Gsss (B) Longowal
3161202602,30.179191,75.754954,GSSS NAMOL
3161201702,30.154484,75.718688,GSSS SHERON
3040801502,31.058619,75.87460799999998,GSSS BHAR SINGH PURA
3060100102,31.068386,75.999826,Gsss Aur
3040807002,31.084358,75.91664299999998,GSSS MORON
3180205203,30.772593,76.55736899999998,GSSS GHARUAN GIRLS
3180214202,30.784318,76.60217299999998,GSSS SAHAURAN
3080500302,30.82164,76.388197,GSSS AMRALA
3070712202,31.018142,76.54401699999998,GSSS LAUDI MAJRA
3080508402,30.811726,76.35275699999998,GSSS KHAMANO KALAN
3070201402,30.936363,76.407701,GSSS BELA
3070204802,30.924332,76.374565,GSSS HAFIZABAD
3070718702,30.890077,76.553133,Gsss Singh Bhagwantpur
3080506904,30.783853,76.391531,GSSS SANGHOLGIRL
