"displayFieldName","transform__originPosition","transform__scale","transform__translate","fieldAliases__objectid","fieldAliases__latitude","fieldAliases__longitude","fieldAliases__lgd_state_","fieldAliases__lgd_distri","fieldAliases__pincode","fieldAliases__schcd","fieldAliases__schname","fieldAliases__schmgt","fieldAliases__schcat","fieldAliases__schtype","fieldAliases__rururb","fieldAliases__school_cat","fieldAliases__school_typ","fieldAliases__stcode11","fieldAliases__dtcode11","fieldAliases__sdtcode11","fieldAliases__sdtname","fieldAliases__subdt_lgd","fieldAliases__vilcode11","fieldAliases__stname","fieldAliases__dtname","fieldAliases__vilname","fieldAliases__management","fieldAliases__location","fieldAliases__udise_stco","geometryType","spatialReference__wkid","spatialReference__latestWkid","fields__name","fields__type","fields__alias","fields__length","features__attributes__objectid","features__attributes__latitude","features__attributes__longitude","features__attributes__lgd_state_","features__attributes__lgd_distri","features__attributes__pincode","features__attributes__schcd","features__attributes__schname","features__attributes__schmgt","features__attributes__schcat","features__attributes__schtype","features__attributes__rururb","features__attributes__school_cat","features__attributes__school_typ","features__attributes__stcode11","features__attributes__dtcode11","features__attributes__sdtcode11","features__attributes__sdtname","features__attributes__subdt_lgd","features__attributes__vilcode11","features__attributes__stname","features__attributes__dtname","features__attributes__vilname","features__attributes__management","features__attributes__location","features__attributes__udise_stco","features__geometry__x","features__geometry__y","exceededTransferLimit"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","936279","30.754382","76.071645000000004","3","36","141416","03090200301","GPS BARMALIPUR","1","1","3","1","Primary","Co-education","03","041","00226","Payal","226","033336","PUNJAB","Ludhiana","Barmalipur (237)","Department of Education","Rural","03","886292","-376870",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","936281","30.754408999999999","76.071494000000001","3","36","141416","03090200302","GMS BARMALIPUR","1","4","3","1","Upper Primary only","Co-education","03","041","00226","Payal","226","033336","PUNJAB","Ludhiana","Barmalipur (237)","Department of Education","Rural","03","886290","-376871",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","936882","30.792206","76.063284999999993","3","36","141421","03090204501","GPS MALHIPUR","1","1","3","1","Primary","Co-education","03","041","00226","Payal","226","033337","PUNJAB","Ludhiana","Malhipur (247)","Department of Education","Rural","03","886194","-377383",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","937023","30.800272","76.073042000000001","3","36","141421","03090404602","GSSS JATANA","1","5","3","1","Up. Pr. Secondary and Higher Sec","Co-education","03","041","00225","Khanna","225","033213","PUNJAB","Ludhiana","Jatana (149)","Department of Education","Rural","03","886308","-377493",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","937606","30.832805","76.071465000000003","3","36","141418","03090203701","GPS KATANA SAHIB","1","1","3","1","Primary","Co-education","03","041","00226","Payal","226","033360","PUNJAB","Ludhiana","Katana (250)","Department of Education","Rural","03","886290","-377934",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","937818","30.844602999999999","76.063542999999996","3","36","141113","03090501303","DECENT CONVENT SCHOOL\n","5","2","3","1","Primary with Upper Primary","Co-education","03","041","00227","Ludhiana (East)","227","033363","PUNJAB","Ludhiana","Chhandaran (213)","Pvt. Unaided (Recognized)","Rural","03","886197","-378094",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","932820","30.581364000000001","76.201697999999993","3","30","147203","03080202602","GMS BHAMBRIAN","1","4","3","1","Upper Primary only","Co-education","03","040","00222","Amloh","222","032856","PUNJAB","Fatehgarh Sahib","Banizer (65)","Department of Education","Rural","03","887807","-374527",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","933329","30.607942999999999","76.203924000000001","3","30","147203","03080203501","GPS CHEHLAN","1","1","3","1","Primary","Co-education","03","040","00222","Amloh","222","032860","PUNJAB","Fatehgarh Sahib","Chehlan (22)","Department of Education","Rural","03","887833","-374887",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","934298","30.660193","76.203377000000003","3","30","147301","03080209101","GPS SALANA J.S.W","1","1","3","1","Primary","Co-education","03","040","00222","Amloh","222","032864","PUNJAB","Fatehgarh Sahib","Salana Jiwan Singh Wala (11)","Department of Education","Rural","03","887827","-375594",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","934869","30.688098","76.204432999999995","3","36","141401","03090405101","GPS KHATRA","1","1","3","1","Primary","Co-education","03","041","00225","Khanna","225","033197","PUNJAB","Ludhiana","Khatra (240)","Department of Education","Rural","03","887839","-375972",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","934943","30.691506","76.201550999999995","3","36","141401","03090405102","GMS KHATRA","1","4","3","1","Upper Primary only","Co-education","03","041","00225","Khanna","225","033197","PUNJAB","Ludhiana","Khatra (240)","Department of Education","Rural","03","887805","-376018",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","935666","30.724205000000001","76.202862999999994","3","36","141401","03090404902","GMS KAURI","1","4","3","1","Upper Primary only","Co-education","03","041","00225","Khanna","225","","PUNJAB","Ludhiana"," ","Department of Education","Rural","03","887821","-376461",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","936044","30.742096","76.203005000000005","3","36","141417","03091003001","GPS Kalal Majra","1","1","3","1","Primary","Co-education","03","041","00224","Samrala","224","033167","PUNJAB","Ludhiana","Kalal Majra (225)","Department of Education","Rural","03","887822","-376704",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","936048","30.742187000000001","76.203338000000002","3","36","141417","03091003003","NANAKANA SAHIB PUBLIC SCHOOL","5","3","3","1","Pr. with Up.Pr. Sec. and H.Sec.","Co-education","03","041","00224","Samrala","224","033167","PUNJAB","Ludhiana","Kalal Majra (225)","Pvt. Unaided (Recognized)","Rural","03","887826","-376705",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","936066","30.742944999999999","76.202320999999998","3","36","141417","03091003002","GHS KALAL MAJRA\n","1","7","3","1","Upper Pr. and Secondary","Co-education","03","041","00224","Samrala","224","033167","PUNJAB","Ludhiana","Kalal Majra (225)","Department of Education","Rural","03","887814","-376715",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","937530","30.828451000000001","76.204111999999995","3","36","141114","03091007102","GPS Manunagar Branch","1","1","3","2","Primary","Co-education","03","041","00224","Samrala","224","800190","PUNJAB","Ludhiana","Samrala (M Cl)","Department of Education","Urban","03","887835","-377875",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","937667","30.836219","76.203507000000002","3","36","141114","03091006701","PUNJAB PUBLIC HIGH SCHOOL","5","3","3","2","Pr. with Up.Pr. Sec. and H.Sec.","Co-education","03","041","00224","Samrala","224","800190","PUNJAB","Ludhiana","Samrala (M Cl)","Pvt. Unaided (Recognized)","Urban","03","887828","-377980",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","938027","30.856110000000001","76.203353000000007","3","36","141114","03090703301","GPS Harion Kalan","1","1","3","1","Primary","Co-education","03","041","00224","Samrala","224","033106","PUNJAB","Ludhiana","Harion Kalan (91)","Department of Education","Rural","03","887826","-378250",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","933574","30.620809999999999","75.890649999999994","3","737","148019","03160107301","GPS TOTAPURI BASTI","1","1","3","1","Primary","Co-education","03","041","00226","Payal","226","033286","PUNJAB","Ludhiana","Sohian (404)","Department of Education","Rural","03","884183","-375061",""
