"displayFieldName","transform__originPosition","transform__scale","transform__translate","fieldAliases__objectid","fieldAliases__schcd","fieldAliases__schname","fieldAliases__schcat","fieldAliases__school_cat","fieldAliases__schtype","fieldAliases__school_typ","fieldAliases__schmgt","fieldAliases__management","fieldAliases__rururb","fieldAliases__location","fieldAliases__pincode","fieldAliases__dtname","fieldAliases__udise_stco","fieldAliases__stname","fieldAliases__vilname","fieldAliases__longitude","fieldAliases__latitude","fieldAliases__stcode11","fieldAliases__dtcode11","fieldAliases__sdtcode11","fieldAliases__sdtname","geometryType","spatialReference__wkid","spatialReference__latestWkid","fields__name","fields__type","fields__alias","fields__length","features__attributes__objectid","features__attributes__schcd","features__attributes__schname","features__attributes__schcat","features__attributes__school_cat","features__attributes__schtype","features__attributes__school_typ","features__attributes__schmgt","features__attributes__management","features__attributes__rururb","features__attributes__location","features__attributes__pincode","features__attributes__dtname","features__attributes__udise_stco","features__attributes__stname","features__attributes__vilname","features__attributes__longitude","features__attributes__latitude","features__attributes__stcode11","features__attributes__dtcode11","features__attributes__sdtcode11","features__attributes__sdtname","features__geometry__x","features__geometry__y"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1422111","3090106404","GSSS SIYAAR","5","Higher Secondary  (6-12)","3","Co-Ed","1","Department of Education","1"," ","141117","Ludhiana","03","PUNJAB"," ","75.903361000000004","30.693867999999998","03","041","00226","Payal","110541","-47006"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1414979","3160703205","MATA GUJRI GIRLS PUB.SEN.SEC.SCHOOL","3","Higher Secondary (1-12)","3","Co-Ed","5","Private Unaided (recognized)","1"," ","148023","Sangrur","03","PUNJAB"," ","75.824650000000005","30.449466000000001","03","053","00269","Malerkotla","110427","-46593"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1414982","3160703201","GPS HATHAN","1","Primary","3","Co-Ed","1","Department of Education","1"," ","148023","Sangrur","03","PUNJAB"," ","75.823890000000006","30.449566000000001","03","053","00269","Malerkotla","110426","-46593"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1414986","3160703207","THE CAMBRIDGE SCHOOL HATHAN","6","Secondary (1-10)","3","Co-Ed","5","Private Unaided (recognized)","1"," ","148023","Sangrur","03","PUNJAB"," ","75.825670000000002","30.449677999999999","03","053","00269","Malerkotla","110428","-46593"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1415032","3160703202","GSSSS HATHAN","5","Higher Secondary  (6-12)","3","Co-Ed","1","Department of Education","1"," ","148023","Sangrur","03","PUNJAB"," ","75.821437000000003","30.450987999999999","03","053","00269","Malerkotla","110422","-46595"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1415989","3160106501","GPS BAHADURGARH","1","Primary","3","Co-Ed","1","Department of Education","1"," ","148023","Sangrur","03","PUNJAB"," ","75.825329999999994","30.480929","03","053","00269","Malerkotla","110428","-46646"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1415990","3160108801","GPS FARIDPUR","1","Primary","3","Co-Ed","1","Department of Education","1"," ","148023","Sangrur","03","PUNJAB"," ","75.825261999999995","30.480975999999998","03","053","00269","Malerkotla","110428","-46646"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1416967","3160107402","GHS TAKHAR KALAN","7","Secondary (6-10)","3","Co-Ed","1","Department of Education","1"," ","148023","Sangrur","03","PUNJAB"," ","75.822957000000002","30.511106000000002","03","053","00269","Malerkotla","110424","-46697"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1417400","3160107701","GPS SIKANDARPURA","1","Primary","3","Co-Ed","1","Department of Education","1"," ","148023","Sangrur","03","PUNJAB"," ","75.819821000000005","30.525977000000001","03","053","00269","Malerkotla","110420","-46722"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1417465","3160107702","GMS SIKANDARPURA SSA UPGRADED","4","Upper Primary Only","3","Co-Ed","1","Department of Education","1"," ","148023","Sangrur","03","PUNJAB"," ","75.821916000000002","30.528343","03","053","00269","Malerkotla","110423","-46726"
