"displayFieldName","transform__originPosition","transform__scale","transform__translate","fieldAliases__objectid","fieldAliases__latitude","fieldAliases__longitude","fieldAliases__lgd_state_","fieldAliases__lgd_distri","fieldAliases__pincode","fieldAliases__schcd","fieldAliases__schname","fieldAliases__schmgt","fieldAliases__schcat","fieldAliases__schtype","fieldAliases__rururb","fieldAliases__school_cat","fieldAliases__school_typ","fieldAliases__stcode11","fieldAliases__dtcode11","fieldAliases__sdtcode11","fieldAliases__sdtname","fieldAliases__subdt_lgd","fieldAliases__vilcode11","fieldAliases__stname","fieldAliases__dtname","fieldAliases__vilname","fieldAliases__management","fieldAliases__location","fieldAliases__udise_stco","geometryType","spatialReference__wkid","spatialReference__latestWkid","fields__name","fields__type","fields__alias","fields__length","features__attributes__objectid","features__attributes__latitude","features__attributes__longitude","features__attributes__lgd_state_","features__attributes__lgd_distri","features__attributes__pincode","features__attributes__schcd","features__attributes__schname","features__attributes__schmgt","features__attributes__schcat","features__attributes__schtype","features__attributes__rururb","features__attributes__school_cat","features__attributes__school_typ","features__attributes__stcode11","features__attributes__dtcode11","features__attributes__sdtcode11","features__attributes__sdtname","features__attributes__subdt_lgd","features__attributes__vilcode11","features__attributes__stname","features__attributes__dtname","features__attributes__vilname","features__attributes__management","features__attributes__location","features__attributes__udise_stco","features__geometry__x","features__geometry__y"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","910425","29.854310999999999","75.720377999999997","3","37","151501","03150204902","GPS KHUDAL KALAN","1","1","3","1","Primary","Co-education","03","047","00248","Budhlada","248","036039","PUNJAB","Mansa","Akbarpur Khudal (171)","Department of Education","Rural","03","110275","-45590"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","913350","29.937087999999999","75.801897999999994","3","43","148031","03160600204","SEABA INTERNATIONAL PUBLIC SCHOOL","5","3","3","2","Pr. with Up.Pr. Sec. and H.Sec.","Co-education","03","053","00273","Lehra","273","800278","PUNJAB","Sangrur","Lehragaga (M Cl)","Pvt. Unaided (Recognized)","Urban","03","110394","-45730"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","919687","30.123943000000001","75.802717999999999","3","43","148028","03161208901","RAMA BHARTI BAL VIDYA MANDIR SCHOOL","5","1","3","2","Primary","Co-education","03","053","00272","Sunam","272","800276","PUNJAB","Sangrur","Sunam Udham Singh Wala (M Cl)","Pvt. Unaided (Recognized)","Urban","03","110395","-46044"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","919740","30.12585","75.802976000000001","3","43","148028","03161209002","DR GAGANDEEP ROTARY PUBLIC SCHOOL","5","6","3","2","Pr. Up Pr. and Secondary Only","Co-education","03","053","00272","Sunam","272","800276","PUNJAB","Sangrur","Sunam Udham Singh Wala (M Cl)","Pvt. Unaided (Recognized)","Urban","03","110395","-46047"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","919768","30.12679","75.803145000000001","3","43","148028","03161205803","SHAHEED UDHAM SINGH GOVERNMENT GIRLS SENIOR SECONDARY SCHOOL, SUNAM UDHAM SINGH WALA","1","5","2","2","Up. Pr. Secondary and Higher Sec","Girls","03","053","00272","Sunam","272","800276","PUNJAB","Sangrur","Sunam Udham Singh Wala (M Cl)","Department of Education","Urban","03","110395","-46049"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","919846","30.128896000000001","75.801795999999996","3","43","148028","03161205805","SHISHU BHARTI MODEL SCHOOL","5","6","3","2","Pr. Up Pr. and Secondary Only","Co-education","03","053","00272","Sunam","272","800276","PUNJAB","Sangrur","Sunam Udham Singh Wala (M Cl)","Pvt. Unaided (Recognized)","Urban","03","110393","-46052"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","919906","30.130631999999999","75.802803999999995","3","43","148028","03161207403","GMS MORAN WALI","1","4","3","2","Upper Primary only","Co-education","03","053","00272","Sunam","272","800276","PUNJAB","Sangrur","Sunam Udham Singh Wala (M Cl)","Department of Education","Urban","03","110395","-46055"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","919907","30.130645999999999","75.809246999999999","3","43","148028","03161207203","ANUVARAT BAL BHARTI HIGH SCHOOL","5","6","3","2","Pr. Up Pr. and Secondary Only","Co-education","03","053","00272","Sunam","272","800276","PUNJAB","Sangrur","Sunam Udham Singh Wala (M Cl)","Pvt. Unaided (Recognized)","Urban","03","110404","-46055"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","920071","30.135553000000002","75.808843999999993","3","43","148028","03161207401","GPS SUCH KHAND SUNAM","1","1","3","2","Primary","Co-education","03","053","00272","Sunam","272","800276","PUNJAB","Sangrur","Sunam Udham Singh Wala (M Cl)","Department of Education","Urban","03","110404","-46063"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","916601","30.014690999999999","75.834612000000007","3","43","148030","03160606002","GHS NANGLA","1","7","3","1","Upper Pr. and Secondary","Co-education","03","053","00272","Sunam","272","039850","PUNJAB","Sangrur","Chhajli (36)","Department of Education","Rural","03","110441","-45860"
