"displayFieldName","transform__originPosition","transform__scale","transform__translate","fieldAliases__objectid","fieldAliases__latitude","fieldAliases__longitude","fieldAliases__lgd_state_","fieldAliases__lgd_distri","fieldAliases__pincode","fieldAliases__schcd","fieldAliases__schname","fieldAliases__schmgt","fieldAliases__schcat","fieldAliases__schtype","fieldAliases__rururb","fieldAliases__school_cat","fieldAliases__school_typ","fieldAliases__stcode11","fieldAliases__dtcode11","fieldAliases__sdtcode11","fieldAliases__sdtname","fieldAliases__subdt_lgd","fieldAliases__vilcode11","fieldAliases__stname","fieldAliases__dtname","fieldAliases__vilname","fieldAliases__management","fieldAliases__location","fieldAliases__udise_stco","geometryType","spatialReference__wkid","spatialReference__latestWkid","fields__name","fields__type","fields__alias","fields__length","features__attributes__objectid","features__attributes__latitude","features__attributes__longitude","features__attributes__lgd_state_","features__attributes__lgd_distri","features__attributes__pincode","features__attributes__schcd","features__attributes__schname","features__attributes__schmgt","features__attributes__schcat","features__attributes__schtype","features__attributes__rururb","features__attributes__school_cat","features__attributes__school_typ","features__attributes__stcode11","features__attributes__dtcode11","features__attributes__sdtcode11","features__attributes__sdtname","features__attributes__subdt_lgd","features__attributes__vilcode11","features__attributes__stname","features__attributes__dtname","features__attributes__vilname","features__attributes__management","features__attributes__location","features__attributes__udise_stco","features__geometry__x","features__geometry__y","exceededTransferLimit"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","941978","31.135411000000001","76.465635000000006","3","42","140117","03070605301","GPS KANGAR","1","1","3","1","Primary","Co-education","03","051","00262","Anandpur Sahib","262","038477","PUNJAB","Rupnagar","Kangar (506)","Department of Education","Rural","03","55680","-23878",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","943210","31.243475","76.466150999999996","3","42","140123","03070108102","GMS MAHRAULI","1","4","3","1","Upper Primary only","Co-education","03","051","00262","Anandpur Sahib","262","038388","PUNJAB","Rupnagar","Aggampur (360)","Department of Education","Rural","03","55681","-23970",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","943739","31.292926999999999","76.466201999999996","3","42","140133","03070105301","GPS GHAMBHIRPUR LOWER","1","1","3","1","Primary","Co-education","03","051","00262","Anandpur Sahib","262","038356","PUNJAB","Rupnagar","Ghamirpur (294)","Department of Education","Rural","03","55681","-24012",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","943740","31.292926999999999","76.466201999999996","3","42","140123","03070105302","GPS GHAMBHIRPUR UPPER","1","1","3","1","Primary","Co-education","03","051","00262","Anandpur Sahib","262","038356","PUNJAB","Rupnagar","Ghamirpur (294)","Department of Education","Rural","03","55681","-24012",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","937561","30.830323","76.448198000000005","3","42","140102","03070501901","GPS CHAKLAN","1","1","3","1","Primary","Co-education","03","051","00265","Chamkaur Sahib","265","038750","PUNJAB","Rupnagar","Chaklan (211)","Department of Education","Rural","03","55667","-23619",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","939596","30.929950999999999","76.447631000000001","3","42","140111","03070210401","GPS SULEMAN SIKHON","1","1","3","1","Primary","Co-education","03","051","00265","Chamkaur Sahib","265","038847","PUNJAB","Rupnagar","Suleman Shikoh (69)","Department of Education","Rural","03","55667","-23703",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","939835","30.940583","76.448289000000003","3","42","140111","03070207902","GMS MUAJUDINPUR","1","4","3","1","Upper Primary only","Co-education","03","051","00265","Chamkaur Sahib","265","038773","PUNJAB","Rupnagar","Muajudinpur (70)","Department of Education","Rural","03","55667","-23712",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","941338","31.080746999999999","76.447524999999999","3","42","140119","03070604805","GMS JHANDIAN KALAN","1","4","3","1","Upper Primary only","Co-education","03","051","00262","Anandpur Sahib","262","038487","PUNJAB","Rupnagar","Jatwahar (516)","Department of Education","Rural","03","55667","-23831",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","941378","31.084415","76.447989000000007","3","42","140119","03070604804","GMS JHANDIAN KHURD","1","4","3","1","Upper Primary only","Co-education","03","051","00262","Anandpur Sahib","262","038482","PUNJAB","Rupnagar","Jhandian (515)","Department of Education","Rural","03","55667","-23835",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","942589","31.188126","76.447535000000002","3","42","140117","03070608901","GPS MANKU MAJRA SABAUR","1","1","3","1","Primary","Co-education","03","051","00262","Anandpur Sahib","262","038431","PUNJAB","Rupnagar","Samirowal (499)","Department of Education","Rural","03","55667","-23923",""
